,ZONA_O,ZONA_D,FE_VIA
15328,Belém,Quarta Parada,232
15329,Pamplona,Jaçanã,232
15330,Jardim Mitsutani,Jardim Jussara,232
15331,Jaçanã,Jardim Paulistano,232
15332,Jaçanã,Pamplona,232
15333,Rodrigues Alves,Independência,232
15334,Marechal Deodoro,Mirandópolis,232
15335,Lapa,Parque Anhembi,232
15336,Jaçanã,Mirandópolis,232
15337,Jaçanã,Bandeirantes,232
15338,Ladeira da Memória,Joaquim Nabuco,233
15339,Sé,Lapa de Baixo,233
15340,Jardins,Joaquim Nabuco,233
15341,Jardim Romano,Jardim Helena,233
15342,Chácara do Piqueri,Gasômetro,233
15343,Vila Sônia,Jardim Luzitânia,233
15344,Belenzinho,Celso Garcia,233
15345,Rio Claro,Vila Carmosina,233
15346,Portal do Morumbi,Jardim Caxingui,233
15347,Francisco Matarazzo,Rodrigues Alves,233
15348,Água Branca,Jardim Guapira,233
15349,Lapa,Vila Madalena,233
15350,Jardim Helena,Jardim Romano,233
15351,Cardoso de Almeida,Trianon,233
15352,Jardim Guapira,Parque Peruche,233
15353,Parque São Jorge,Jardim Romano,233
15354,Luz,Parque Peruche,233
15355,Jardim Romano,Rui Barbosa,233
15356,Rio Claro,Regente Feijó,233
15357,Ladeira da Memória,Vila Olímpia,233
15358,Bororé,Hélio Pelegrino,233
15359,Hélio Pelegrino,Ladeira da Memória,233
15360,Independência,Vila Clementino,233
15361,Butantã,Jardim Jussara,233
15362,Cidade Universitária,Cidade A.E.Carvalho,233
15363,Vila Carmosina,Rio Claro,233
15364,Rui Barbosa,Jardim Romano,233
15365,Parque Peruche,Tietê,233
15366,Parque Peruche,Pamplona,233
15367,Vila Mariana,Planalto Paulista,233
15368,Limão,Parada XV,234
15369,Parada XV,Orfanato,234
15370,FAAP,Santa Terezinha,234
15371,Bexiga,Ponte Rasa,234
15372,Parada XV,Ladeira da Memória,234
15373,Vila Maria,Tucuruvi,234
15374,Jardim Europa,Jardim da Saúde,234
15375,Juscelino Kubitschek,Vila Matilde,234
15376,Juscelino Kubitschek,Vila Sônia,234
15377,Parada XV,Liberdade,234
15378,Parada XV,Lapa,234
15379,Santana,Parada XV,234
15380,Parada XV,Limão,234
15381,Santa Terezinha,Bussocaba City,234
15382,Granja Julieta,Treze de Maio,234
15383,Jardins,Parada Inglesa,234
15384,Centro Cultural,Mirandópolis,234
15385,Vila Cordeiro,Portal do Morumbi,234
15386,Pamplona,Vila Beatriz,234
15387,Jardim da Glória,Juscelino Kubitschek,234
15388,Granja Julieta,Emissário,234
15389,Vila Maria,Centro Cultural,234
15390,Juscelino Kubitschek,Bexiga,234
15391,Portal do Morumbi,Vila Cordeiro,234
15392,Artur Alvim,Juscelino Kubitschek,234
15393,Juscelino Kubitschek,Chácara Itaim,234
15394,Juscelino Kubitschek,Cidade IV Centenário,234
15395,Juscelino Kubitschek,Fazenda da Juta,234
15396,Parada XV,Alfredo Pujol,234
15397,Parada Inglesa,Jardins,234
15398,Juscelino Kubitschek,Jardim da Glória,234
15399,Fazenda da Juta,Juscelino Kubitschek,234
15400,Juscelino Kubitschek,Linhas Corrente,234
15401,Pirajussara,Alfredo Pujol,234
15402,Juscelino Kubitschek,Parque Boturussu,234
15403,Bosque da Saúde,Coroa,234
15404,Parque Boturussu,Juscelino Kubitschek,234
15405,Parada XV,Parque Anhembi,234
15406,Vila Matilde,Juscelino Kubitschek,234
15407,Clínicas,Mirandópolis,234
15408,Chácara Itaim,Juscelino Kubitschek,234
15409,Catumbi,Parada Inglesa,234
15410,Lapa,Parada Inglesa,234
15411,Moema,Emissário,234
15412,Ladeira da Memória,Parada XV,234
15413,Orfanato,Parada XV,234
15414,Parada XV,Vila Olímpia,234
15415,Fazenda Caguaçu,Santa Terezinha,234
15416,Tiquatira,Parada XV,234
15417,Bussocaba City,Santa Terezinha,234
15418,Jaçanã,Itaim Paulista,234
15419,Vila Buarque,Parada XV,234
15420,Vila Clementino,Parada XV,234
15421,CEASA,Vila Madalena,234
15422,Cidade IV Centenário,Fazenda Caguaçu,234
15423,Parque Anhembi,Parada XV,234
15424,Iguatemi,Juscelino Kubitschek,234
15425,Vila Madalena,Parada XV,234
15426,Pinheiros,Mirandópolis,234
15427,Pinheiros,Parada XV,234
15428,Itaim Paulista,Jaçanã,234
15429,Santa Terezinha,Fazenda Caguaçu,234
15430,Vila Beatriz,Pamplona,234
15431,Parada XV,Vila Clementino,234
15432,Fazenda Caguaçu,Cidade IV Centenário,234
15433,Rio Verde,Juscelino Kubitschek,234
15434,Parada XV,Tiquatira,234
15435,Parada XV,Santana,234
15436,Vila Olímpia,Parada XV,234
15437,Luz,Pamplona,234
15438,Lapa,Parada XV,234
15439,Planalto Paulista,Parada XV,234
15440,Parada XV,Planalto Paulista,234
15441,Praça João Mendes,Parada XV,234
15442,Parada XV,Vila Buarque,234
15443,Linhas Corrente,Juscelino Kubitschek,234
15444,Parada XV,Pinheiros,234
15445,Fazenda Caguaçu,Jardim Anália Franco,234
15446,Ermelino Matarazzo,Parque Novo Mundo,235
15447,Alto da Lapa,Riviera,235
15448,Jardim Anália Franco,Moema,235
15449,Riviera,Sé,235
15450,Jardim São Paulo,Jardim Anália Franco,235
15451,Jardim das Pedras,Parque Edu Chaves,235
15452,Vila Buarque,Riviera,235
15453,Moóca,Parada XV,235
15454,Vila Madalena,Riviera,235
15455,Vila Buarque,Aclimação,235
15456,Chácara Itaim,Riviera,235
15457,Riviera,Vila Buarque,235
15458,Berrini,Jardins,235
15459,Bela Vista,Riviera,235
15460,Água Rasa,Vila Nova Conceição,235
15461,Jaguaré,Bom Retiro,235
15462,Pinheiros,Vila Sônia,235
15463,Riviera,Chácara Itaim,235
15464,Vila Nova Conceição,Água Rasa,235
15465,Riviera,Vila Santa Catarina,235
15466,Vila Santa Catarina,Riviera,235
15467,Ladeira da Memória,Riviera,235
15468,Riviera,Jardim João XXIII,235
15469,Riviera,Bela Vista,235
15470,Parada XV,França Pinto,235
15471,Riviera,Alto da Lapa,235
15472,Lapa,Alto de Pinheiros,235
15473,Riviera,Jardins,235
15474,Parada XV,Clínicas,235
15475,Vila Beatriz,Saúde,235
15476,Riviera,Vila Madalena,235
15477,Emissário,Pirituba,235
15478,Bororé,Brooklin,235
15479,Moema,Jardim Anália Franco,235
15480,Parada XV,Moóca,235
15481,Francisco Matarazzo,Paraíso,235
15482,Riviera,Ladeira da Memória,235
15483,Parada XV,Alto da Moóca,235
15484,Campinas,Pires da Mota,235
15485,Clínicas,Parada XV,235
15486,Consolação,Riviera,235
15487,Paraíso,Francisco Matarazzo,235
15488,França Pinto,Parada XV,235
15489,Jardim João XXIII,Riviera,235
15490,Parque Edu Chaves,Jardim das Pedras,235
15491,Vieira de Moraes,Marechal Deodoro,235
15492,Sé,Riviera,235
15493,Parque Novo Mundo,Ermelino Matarazzo,235
15494,Liberdade,Parada XV,235
15495,Bom Retiro,Jaguaré,235
15496,Sumaré,Butantã,235
15497,Campinas,Vila Esperança,236
15498,Vila Guilhermina,Treze de Maio,236
15499,Santa Ifigênia,Jardim Paulistano,236
15500,Francisco Matarazzo,Vila Guilhermina,236
15501,Ponte Rasa,Sé,236
15502,Rio Claro,Pires da Mota,236
15503,Sé,Ponte Rasa,236
15504,Ponte Rasa,Ana Rosa,236
15505,Ponte Rasa,Campo Grande,236
15506,Ponte Rasa,Campinas,236
15507,Ponte Rasa,Santa Cecília,236
15508,Ponte Rasa,Bom Jardim,236
15509,Ponte Rasa,Pamplona,236
15510,Jardim Europa,Vieira de Moraes,236
15511,Ponte Rasa,Parque Dom Pedro,236
15512,São Carlos do Pinhal,Ponte Rasa,236
15513,Campo Belo,Jardim Represa,236
15514,Bom Jardim,Ponte Rasa,236
15515,Trianon,Boaçava,236
15516,Jardim da Saúde,Paraíso,236
15517,República,Jardim Aeroporto,236
15518,Ladeira da Memória,Higienópolis,236
15519,Parque Dom Pedro,Ponte Rasa,236
15520,Santa Cecília,Ponte Rasa,236
15521,Ana Rosa,Ponte Rasa,236
15522,Parque da Moóca,Santa Ifigênia,236
15523,Campo Grande,Ponte Rasa,236
15524,Pires da Mota,Rio Claro,236
15525,Vila Anglo Brasileira,Pamplona,236
15526,Jardim Represa,Campo Belo,236
15527,Sacomã,Santa Cruz,236
15528,Ponte Pequena,Praça João Mendes,237
15529,Oscar Freire,São Carlos do Pinhal,237
15530,Santa Ifigênia,Parque Morro Doce,237
15531,Barra Funda,Sé,237
15532,Bororé,Jardim Presidente,237
15533,Bororé,Belém,237
15534,Belém,Bororé,237
15535,Jardins,Sumaré,237
15536,Cupecê,Parque Interlagos,237
15537,Marechal Deodoro,Alto da Lapa,237
15538,Vila Jaguara,Parque Morro Doce,237
15539,Parque Morro Doce,Vila Nova Conceição,237
15540,Vila Miranda,Campo Belo,237
15541,Parque Morro Doce,Vila Anglo Brasileira,237
15542,Parque Morro Doce,Aclimação,237
15543,Parque Morro Doce,Bela Vista,237
15544,Parque Morro Doce,Boaçava,237
15545,Parque Interlagos,Sé,237
15546,Parque Morro Doce,Emissário,237
15547,Parque Morro Doce,Francisco Matarazzo,237
15548,Parque Morro Doce,Freguesia do Ó,237
15549,Parque Morro Doce,Vila Jaguara,237
15550,Parque Morro Doce,Higienópolis,237
15551,Parque Morro Doce,Jardim São Luís,237
15552,Jardim Europa,Fazenda Morumbi,237
15553,Bela Aliança,Alto de Pinheiros,237
15554,Parque Morro Doce,Limão,237
15555,Parque Morro Doce,PUC,237
15556,Sé,Parque Interlagos,237
15557,Vila Zatt,Parque Morro Doce,237
15558,Parque Morro Doce,Jaguaré,237
15559,Parque Interlagos,Cupecê,237
15560,Sé,Alto de Pinheiros,237
15561,Ladeira da Memória,Casa Verde,237
15562,Freguesia do Ó,Parque Morro Doce,237
15563,Trianon,Alto de Pinheiros,237
15564,Pompéia,Parque Morro Doce,237
15565,Alto da Lapa,Pompéia,237
15566,Jaguaré,Parque Morro Doce,237
15567,Bela Vista,Parque Morro Doce,237
15568,Santa Cruz,Sé,237
15569,Santa Ifigênia,Parada Inglesa,237
15570,PUC,Parque Morro Doce,237
15571,Jardim São Luís,Parque Morro Doce,237
15572,Higienópolis,Parque Morro Doce,237
15573,Santa Cecília,Santa Terezinha,237
15574,Vila Anglo Brasileira,Parque Morro Doce,237
15575,Penha,Saudade,238
15576,Pari,Bom Retiro,238
15577,Águia de Haia,Saudade,238
15578,Clínicas,Água Branca,238
15579,São João Clímaco,Bosque da Saúde,238
15580,Saudade,Águia de Haia,238
15581,Vila Maria,João Teodoro,238
15582,Real Parque,Oscar Freire,238
15583,Bosque da Saúde,Independência,238
15584,Praça João Mendes,Vila Monumento,238
15585,Bosque da Saúde,Vila Carrão,238
15586,Vila Carrão,Bosque da Saúde,238
15587,Bosque da Saúde,São João Clímaco,238
15588,Vila Independência,Vila Zelina,238
15589,João Teodoro,Jardim São Paulo,238
15590,Bom Retiro,Jardim Romano,238
15591,Saudade,Saúde,238
15592,Jaceguava,Santo Amaro,238
15593,São Mateus,Jardim Romano,238
15594,Saudade,Pari,238
15595,Jardim Romano,São Mateus,238
15596,Jardim Romano,Bom Retiro,238
15597,Parque Edu Chaves,Casa Verde,238
15598,Vila Hamburguesa,Gavião Peixoto,238
15599,Saudade,Penha,238
15600,Independência,Bosque da Saúde,238
15601,Parque Edu Chaves,Marechal Deodoro,238
15602,Casa Verde,Parque Edu Chaves,238
15603,Tiquatira,Higienópolis,239
15604,Ermelino Matarazzo,Santa Ifigênia,239
15605,Joaquim Nabuco,Tiquatira,239
15606,Parque Dom Pedro,Ipiranga,239
15607,Tiquatira,Jardim Brasil,239
15608,Ermelino Matarazzo,Santa Cecília,239
15609,Parque Dom Pedro,Alfredo Pujol,239
15610,Pari,Vila Guilherme,239
15611,Pompéia,Rudge,239
15612,Tiquatira,Artur Alvim,239
15613,Santa Cecília,Ermelino Matarazzo,239
15614,Vila Leopoldina,Ermelino Matarazzo,239
15615,Tiquatira,Vila Miranda,239
15616,Vila Suzana,Vila Cordeiro,239
15617,Vila Olímpia,Vila Ema,239
15618,São Carlos do Pinhal,Vila Madalena,239
15619,Santa Ifigênia,Ermelino Matarazzo,239
15620,Tiquatira,Vila Califórnia,239
15621,Jardim Brasil,Tiquatira,239
15622,Consolação,Vila Clementino,239
15623,Tiquatira,Joaquim Nabuco,239
15624,Rodrigues Alves,Jardins,239
15625,Chácara Flora,Bororé,239
15626,Liberdade,Santa Cruz,239
15627,Tatuapé,Vila Leopoldina,239
15628,Lapa,Trianon,239
15629,Campinas,Cidade A.E.Carvalho,239
15630,Nova Jaraguá,Berrini,239
15631,Boaçava,Jardim Paulistano,239
15632,Berrini,Francisco Matarazzo,239
15633,Belém,Tatuapé,239
15634,Vila Monumento,Jardim Previdência,239
15635,Higienópolis,Tiquatira,239
15636,Berrini,Alfredo Pujol,239
15637,Ipiranga,Vila Clementino,239
15638,Jardim da Glória,Parque Dom Pedro,239
15639,Jurubatuba,França Pinto,239
15640,Santo Amaro,Bororé,239
15641,Vila Ema,Vila Olímpia,239
15642,Berrini,Nova Jaraguá,239
15643,Cidade Vargas,Santo Amaro,239
15644,Ipiranga,República,239
15645,Cidade IV Centenário,Luz,240
15646,Tucuruvi,Cambuci,240
15647,Santa Terezinha,Vila Olímpia,240
15648,Luz,Cidade IV Centenário,240
15649,Bela Vista,Vila Clementino,240
15650,Vila Clementino,Boaçava,240
15651,Vila Mariana,Chácara Itaim,240
15652,Vila Olímpia,Santa Terezinha,240
15653,Jardim Jussara,Vila São Pedro,240
15654,Jardim Helena,Rio Claro,240
15655,Jardim da Glória,Bexiga,240
15656,Bexiga,Jardim Bonfiglioli,240
15657,Vila Maria,Belém,240
15658,Jurubatuba,Parque Dom Pedro,240
15659,Vila São Pedro,Jardim Jussara,240
15660,Granja Julieta,Santa Terezinha,240
15661,Bexiga,Jardim da Glória,240
15662,Parque Edu Chaves,Jardim São Paulo,240
15663,Morumbi,Hélio Pelegrino,240
15664,Luz,Pompéia,240
15665,Parque Ibirapuera,Vila Buarque,240
15666,Bresser,Celso Garcia,240
15667,Pompéia,Luz,240
15668,Chácara Itaim,Santa Terezinha,240
15669,Rio Claro,Jardim Helena,240
15670,Jardim São Paulo,Horto Florestal,240
15671,Jardim São Paulo,Parque Edu Chaves,240
15672,Oscar Freire,Perus,240
15673,Parque Continental,Vila Hamburguesa,240
15674,Jardim Paulistano,Vila Nova Conceição,241
15675,Masp,Francisco Matarazzo,241
15676,Jardim Romano,Fábrica Bandeirantes,241
15677,Celso Garcia,Jardim Romano,241
15678,França Pinto,Vila São José,241
15679,Zaki Narchi,Parque Edu Chaves,241
15680,Brás,Parque São Jorge,241
15681,Vila Cordeiro,Butantã,241
15682,Tatuapé,Vila Monumento,241
15683,Jardim Romano,Regente Feijó,241
15684,Pinheiros,Sapopemba,241
15685,Bororé,Chácara Itaim,241
15686,Tatuapé,Marechal Deodoro,241
15687,Santo Amaro,São Carlos do Pinhal,241
15688,Oriente,Jardim Romano,241
15689,Francisco Matarazzo,Barra Funda,241
15690,Jardim Cambará,Rodrigues Alves,241
15691,Rodrigues Alves,Jardim Cambará,241
15692,Emissário,Vila Ipojuca,241
15693,Fábrica Bandeirantes,Jardim Romano,241
15694,Regente Feijó,Jardim Romano,241
15695,Brás,Vila Buarque,241
15696,Ladeira da Memória,Fazenda Morumbi,241
15697,Fazenda Morumbi,Ladeira da Memória,241
15698,FAAP,Sumaré,242
15699,Águia de Haia,Belém,242
15700,Belém,Águia de Haia,242
15701,Horto Florestal,Parque Peruche,242
15702,Bexiga,Lapa,242
15703,Mirandópolis,Vila São Pedro,242
15704,Santa Cruz,Paraíso,242
15705,Água Funda,Vila Mariana,242
15706,Chácara Flora,Cidade Universitária,242
15707,Vila Madalena,Cardoso de Almeida,242
15708,Água Funda,Alto da Moóca,242
15709,Jaguaré,Trianon,242
15710,Belenzinho,Alfredo Pujol,242
15711,Vila Ipojuca,Vila Leopoldina,242
15712,Jardins,Vila Olímpia,242
15713,Águia de Haia,Bom Retiro,242
15714,França Pinto,Vila Bertioga,242
15715,Lapa,Bexiga,242
15716,Pinheiros,Higienópolis,242
15717,Parque Palmas do Tremembé,Jardim Umarizal,243
15718,Fazenda Morumbi,Portal do Morumbi,243
15719,Tremembé,Vila Maria,243
15720,Anchieta,Santa Cecília,243
15721,Tatuapé,Jardim Umarizal,243
15722,Águia de Haia,Brás,243
15723,Cidade IV Centenário,Santo Amaro,243
15724,Vila Ipojuca,Cidade Universitária,243
15725,Cidade IV Centenário,Santa Terezinha,243
15726,Jardim da Glória,Cidade IV Centenário,243
15727,Bresser,Águia de Haia,243
15728,Cidade IV Centenário,Centro Cultural,243
15729,Bela Vista,Águia de Haia,243
15730,Jardins,Higienópolis,243
15731,Vila Nova Conceição,PUC,243
15732,Pari,Coroa,243
15733,Vila Maria,Tremembé,243
15734,Jardim Umarizal,Parque Palmas do Tremembé,243
15735,Santa Cecília,Águia de Haia,243
15736,Granja Julieta,Alto de Pinheiros,243
15737,Águia de Haia,Bela Vista,243
15738,Jardim Umarizal,Tatuapé,243
15739,Ponte Pequena,Bom Retiro,243
15740,Campinas,Parque da Moóca,243
15741,Centro Cultural,PUC,243
15742,Jaguaré,Anchieta,243
15743,Jóquei Clube,Saúde,243
15744,Paraíso,Barra Funda,243
15745,França Pinto,Vila Nova Conceição,243
15746,Cidade Vargas,Vila São José,243
15747,PUC,Cidade IV Centenário,243
15748,Vila Independência,Jardim da Saúde,243
15749,PUC,Vila Nova Conceição,243
15750,Chácara Itaim,Santa Cecília,243
15751,Mirandópolis,PUC,243
15752,Santa Cecília,Chácara Itaim,243
15753,Águia de Haia,Ana Rosa,243
15754,Santo Amaro,Cidade IV Centenário,243
15755,Saúde,Jóquei Clube,243
15756,Santa Terezinha,Cidade IV Centenário,243
15757,Lapa,Praça João Mendes,244
15758,Joaquim Nabuco,Real Parque,244
15759,Cidade Líder,Bosque da Saúde,244
15760,Bom Jardim,Catumbi,244
15761,Chácara Flora,Cidade Líder,244
15762,Parque Edu Chaves,Parada Inglesa,244
15763,Parada Inglesa,Parque Edu Chaves,244
15764,Jardim São Paulo,Rio Bonito,244
15765,Parque Edu Chaves,Chácara do Piqueri,244
15766,Rudge,Bela Vista,244
15767,Alto de Pinheiros,Riviera,244
15768,Bosque da Saúde,Cidade Líder,244
15769,Bexiga,Vila Clementino,244
15770,Cidade Líder,Barra Funda,244
15771,Liberdade,Chácara do Piqueri,244
15772,Alto da Moóca,Sé,244
15773,Parque Edu Chaves,Tucuruvi,244
15774,Rio Bonito,Jardim São Paulo,244
15775,Rodrigues Alves,Regente Feijó,244
15776,Ladeira da Memória,Parque da Moóca,244
15777,Granja Julieta,Campinas,244
15778,Vila Buarque,Parque da Moóca,244
15779,Parque da Moóca,Joaquim Nabuco,244
15780,Cidade Líder,Chácara Flora,244
15781,Tietê,Cidade Líder,244
15782,Ladeira da Memória,Independência,244
15783,Riviera,Alto de Pinheiros,244
15784,Catumbi,Bom Jardim,244
15785,Chácara Klabin,Granja Julieta,244
15786,Luz,Bexiga,245
15787,Vila Anastácio,Vila Buarque,245
15788,Centro Cultural,Vila Gustavo,245
15789,Pires da Mota,Campinas,245
15790,Vila Gustavo,Centro Cultural,245
15791,São Carlos do Pinhal,Vila Gustavo,245
15792,Vila Gustavo,Chácara do Piqueri,245
15793,Santa Terezinha,São Carlos do Pinhal,245
15794,Glicério,Centro Cultural,245
15795,Ponte Pequena,Vila Madalena,245
15796,Moema,Butantã,245
15797,Lapa de Baixo,Vila Beatriz,245
15798,Chácara do Piqueri,Vila Gustavo,245
15799,Regente Feijó,Chácara Itaim,245
15800,Chácara Itaim,Regente Feijó,245
15801,Cohab Jova Real,Tucuruvi,245
15802,Lapa,Cidade Universitária,245
15803,Centro Cultural,Glicério,245
15804,Vila Gustavo,Consolação,245
15805,Cambuci,Ana Rosa,245
15806,São Carlos do Pinhal,Santa Terezinha,245
15807,Vila Jacuí,Ponte Pequena,245
15808,Liberdade,Bosque da Saúde,245
15809,Trianon,Parque São Jorge,246
15810,Praça João Mendes,Vila Suzana,246
15811,Vila Gustavo,Trianon,246
15812,Nova Jaraguá,Parque São Jorge,246
15813,Bela Vista,Vila Beatriz,246
15814,Nova Jaraguá,Parque da Moóca,246
15815,Nova Jaraguá,Bresser,246
15816,Hélio Pelegrino,Jardim João XXIII,246
15817,Brás,Vila Gustavo,246
15818,Nova Jaraguá,Bela Vista,246
15819,Lapa,Jardim João XXIII,246
15820,Parada de Taipas,Parque Boturussu,246
15821,Santa Terezinha,Lapa,246
15822,Trianon,Vila Gustavo,246
15823,Regente Feijó,Ponte Rasa,246
15824,Mandaqui,Orfanato,246
15825,Jardim Caxingui,Jardim Damasceno,246
15826,Jardim João XXIII,Jardim Damasceno,246
15827,Vila Cordeiro,Ponte Rasa,246
15828,Ana Rosa,Campinas,246
15829,Santa Terezinha,Vila Maria,246
15830,São Mateus,Parque Boturussu,246
15831,Limão,Vila Gustavo,246
15832,Cardoso de Almeida,Sumaré,246
15833,Parque Edu Chaves,Vila Medeiros,246
15834,Lapa de Baixo,Santa Terezinha,246
15835,Vila Bertioga,Vila Maria,246
15836,Higienópolis,Sé,246
15837,Parada Inglesa,França Pinto,246
15838,Santa Marina,Jardim João XXIII,246
15839,Rodrigues Alves,Vila Gustavo,246
15840,Clínicas,Independência,246
15841,Vila Gustavo,Brás,246
15842,Vila Maria,Vila Bertioga,246
15843,Brás,Oriente,246
15844,Jardim João XXIII,Vila Hamburguesa,246
15845,Jardim Bonfiglioli,Brooklin,246
15846,Jardim João XXIII,Sé,246
15847,Sé,Jardim João XXIII,246
15848,Brás,Ponte Rasa,246
15849,Parque da Moóca,Nova Jaraguá,246
15850,Lajeado,Parque Boturussu,246
15851,Jardim João XXIII,Santa Marina,246
15852,Vila Medeiros,Parque Edu Chaves,246
15853,Parque São Jorge,Vila Bertioga,246
15854,Bresser,Nova Jaraguá,246
15855,Jóquei Clube,Jardim João XXIII,246
15856,Francisco Matarazzo,Ladeira da Memória,246
15857,Vila Guilherme,Ponte Rasa,246
15858,Campinas,Tatuapé,246
15859,Ponte Rasa,Vila Guilherme,246
15860,Ponte Rasa,Liberdade,246
15861,Ponte Rasa,Linhas Corrente,246
15862,Ponte Rasa,Marechal Deodoro,246
15863,Ponte Rasa,Brás,246
15864,Treze de Maio,Moema,246
15865,Marechal Deodoro,Ponte Rasa,246
15866,Ponte Rasa,Vila Cordeiro,246
15867,Vila Gustavo,Limão,246
15868,Jardim Damasceno,Jardim Caxingui,246
15869,Jardim Damasceno,Jardim João XXIII,246
15870,Parque São Jorge,Nova Jaraguá,246
15871,Parque Boturussu,Vila Olímpia,246
15872,Vila Hamburguesa,Jardim João XXIII,246
15873,Vila Madalena,Nova Jaraguá,246
15874,Vila Gustavo,Rodrigues Alves,246
15875,Vieira de Moraes,Parque Interlagos,246
15876,Santa Ifigênia,Vila Suzana,246
15877,Portal do Morumbi,Liberdade,246
15878,Parque Boturussu,Anchieta,246
15879,São Carlos do Pinhal,Moóca,246
15880,Parque Boturussu,São Mateus,246
15881,Sacomã,França Pinto,246
15882,PUC,Parque Boturussu,246
15883,França Pinto,Parada Inglesa,246
15884,Vila Olímpia,Parque Boturussu,246
15885,Parque Boturussu,Lajeado,246
15886,Parque Boturussu,Parada de Taipas,246
15887,Chácara Itaim,Ponte Rasa,246
15888,Ponte Rasa,Chácara Itaim,246
15889,Itaquera,Vila Carioca,246
15890,Parque Boturussu,Trianon,246
15891,Clínicas,Moinho Velho,247
15892,Alto da Lapa,Parque Morro Doce,247
15893,Saudade,Jardim Anália Franco,247
15894,França Pinto,Granja Julieta,247
15895,Masp,Freguesia do Ó,247
15896,Joaquim Nabuco,Morumbi,247
15897,Vila Matilde,Bom Retiro,247
15898,Vila Anglo Brasileira,Jardim Paulistano,247
15899,Alto da Lapa,Moema,247
15900,Parque Dom Pedro,Saudade,247
15901,Vila Guilhermina,Vila Nova Conceição,247
15902,Moema,Parque Morro Doce,247
15903,Ladeira da Memória,Santa Ifigênia,247
15904,Francisco Matarazzo,Cidade Universitária,247
15905,Pompéia,Santa Cecília,247
15906,Saudade,Parque Dom Pedro,247
15907,Clínicas,Fazenda Morumbi,247
15908,Ladeira da Memória,Parque Morro Doce,247
15909,Marsilac,Cardoso de Almeida,247
15910,Saudade,Joaquim Nabuco,247
15911,Água Branca,Saudade,247
15912,Saudade,Água Branca,247
15913,Parque Morro Doce,Parque Continental,247
15914,Parque Morro Doce,Alto da Lapa,247
15915,Parque Morro Doce,Clínicas,247
15916,Moinho Velho,Clínicas,247
15917,Vila Hamburguesa,República,247
15918,Granja Julieta,França Pinto,247
15919,Vila Beatriz,Campinas,247
15920,Parque Morro Doce,Gasômetro,247
15921,Joaquim Nabuco,Saudade,247
15922,Pirituba,Parque Morro Doce,247
15923,Freguesia do Ó,Masp,247
15924,Parque Morro Doce,Ladeira da Memória,247
15925,Parque Morro Doce,Pirituba,247
15926,Vila Nova Conceição,Vila Guilhermina,247
15927,Parque Continental,Parque Morro Doce,247
15928,Treze de Maio,Jardins,247
15929,Sacomã,Jardim Previdência,247
15930,Jardim Anália Franco,Saudade,247
15931,Parque Continental,Lapa de Baixo,247
15932,Vila Sabará,Cupecê,247
15933,Alto de Pinheiros,Lapa,248
15934,Jardim Previdência,Cambuci,248
15935,Jardim João XXIII,Bela Aliança,248
15936,Trianon,Parque Ibirapuera,248
15937,Paraíso,Parque Dom Pedro,248
15938,Jardim Previdência,Vila Monumento,248
15939,Berrini,Boaçava,248
15940,Jardim Anália Franco,Praça João Mendes,248
15941,Jardim João XXIII,Bela Vista,248
15942,Jóquei Clube,Jardim Cambará,248
15943,Jardim João XXIII,Boaçava,248
15944,Jardim João XXIII,Canindé,248
15945,Jardim João XXIII,Jardins,248
15946,Hélio Pelegrino,Trianon,248
15947,Bexiga,Vila Santa Catarina,248
15948,Jardim Cambará,Jóquei Clube,248
15949,Gomes Cardim,Bosque da Saúde,248
15950,Parque Anhembi,Vila Santa Catarina,248
15951,Jardim Cambará,Adventista,248
15952,João Teodoro,Parque Dom Pedro,248
15953,Clínicas,Cardoso de Almeida,248
15954,Alto da Lapa,Anchieta,248
15955,Jardim João XXIII,Regente Feijó,248
15956,Boaçava,Berrini,248
15957,Vila Esperança,Jardim Anália Franco,248
15958,Chácara Klabin,Campinas,248
15959,Bela Aliança,Jardim João XXIII,248
15960,Regente Feijó,Jardim João XXIII,248
15961,Praça João Mendes,Vila Zelina,248
15962,Gomes Cardim,Parada XV,248
15963,Centro Cultural,Bandeirantes,248
15964,Parque Ibirapuera,Trianon,248
15965,Praça João Mendes,Jardim São Paulo,248
15966,Vila Gustavo,Horto Florestal,248
15967,Jardim Anália Franco,Vila Esperança,248
15968,Jardim João XXIII,FAAP,248
15969,Ponte Pequena,República,248
15970,Ana Rosa,Jardim Anália Franco,248
15971,Vila Califórnia,Vila Santa Catarina,248
15972,Vila Sônia,Sé,248
15973,Moema,Pires da Mota,248
15974,Tatuapé,Perdizes,248
15975,Jardim São Paulo,Praça João Mendes,248
15976,FAAP,Jardim João XXIII,248
15977,Vila Santa Catarina,Bexiga,248
15978,Granja Julieta,Jardim Europa,248
15979,Bosque da Saúde,Jardim Anália Franco,248
15980,Adventista,Jardim Cambará,248
15981,Santa Ifigênia,Jardim Cambará,248
15982,Vila Santa Catarina,Vila Califórnia,248
15983,Vila Santa Catarina,Parque Anhembi,248
15984,Jardim Cambará,Sé,248
15985,Vila Zelina,Jardim Anália Franco,248
15986,Jardim Cambará,Santa Ifigênia,248
15987,Oscar Freire,Vila Santa Catarina,248
15988,Granja Julieta,Cidade Vargas,248
15989,Jardim Cambará,Santa Cecília,248
15990,Boaçava,Jardim João XXIII,248
