,ZONA_O,ZONA_D,FE_VIA
226,Jóquei Clube,Jardim São Luís,6
227,Canindé,Joaquim Nabuco,6
228,Jardim Luzitânia,Centro Empresarial,6
229,Joaquim Nabuco,Canindé,6
230,Canindé,Francisco Matarazzo,6
231,Campinas,Canindé,6
232,Canindé,Brás,6
233,Bela Vista,Canindé,6
234,Canindé,Clínicas,6
235,Saúde,Canindé,6
236,Canindé,Chácara Flora,6
237,Canindé,Praça João Mendes,6
238,Francisco Matarazzo,Canindé,6
239,Bom Retiro,Pacaembu,6
240,Jardim Luzitânia,Tietê,6
241,Vila Madalena,Barra Funda,6
242,Ladeira da Memória,Tietê,6
243,Jardim Luzitânia,Pompéia,6
244,Morumbi,Jardim Luzitânia,6
245,Jardim Luzitânia,Oriente,6
246,Jardim São Luís,Jóquei Clube,6
247,Jardim Luzitânia,Moóca,6
248,Parque Anhembi,Jardim Luzitânia,6
249,São Carlos do Pinhal,Canindé,6
250,Santa Cruz,Canindé,6
251,Vila Jaguara,Pacaembu,6
252,Brás,Canindé,6
253,João Teodoro,Oscar Freire,6
254,Jardim Luzitânia,Aclimação,6
255,França Pinto,Sumaré,6
256,Tatuapé,Canindé,6
257,Jardim Peri,Pacaembu,6
258,Canindé,Bela Vista,6
259,Jardim Guapira,Pacaembu,6
260,Sé,Canindé,6
261,João Teodoro,Planalto Paulista,6
262,Jardim Luzitânia,Santo Amaro,6
263,Canindé,Campinas,6
264,Pacaembu,Vila Terezinha,6
265,Pacaembu,Rudge,6
266,Pacaembu,Parque Dom Pedro,6
267,Pacaembu,Vila Jaguara,6
268,Granja Julieta,Pacaembu,6
269,Paraíso,Pacaembu,6
270,Aclimação,Jardim Luzitânia,6
271,Vila Terezinha,Pacaembu,6
272,Pacaembu,Santa Cruz,6
273,Chácara Flora,Canindé,6
274,Clínicas,Canindé,6
275,Pacaembu,Vila Anglo Brasileira,6
276,Pacaembu,Real Parque,6
277,Pacaembu,Luz,6
278,Santo Amaro,Barra Funda,6
279,Parque Dom Pedro,Pacaembu,6
280,Pacaembu,Jaguaré,6
281,Limão,Parque São Jorge,6
282,Pacaembu,Pamplona,6
283,Paraíso,João Teodoro,7
284,Treze de Maio,Jóquei Clube,7
285,Vila Maria,Praça João Mendes,7
286,Gavião Peixoto,Tietê,7
287,Treze de Maio,João Teodoro,7
288,Jóquei Clube,Rodovia Presidente Dutra,7
