record_id,Placa,Veículo,Tipo de Veículo,driverVeiculo_id
4590167f-6876-4758-b60a-ea477b87ff31,,Bicicleta,Bicicleta,9d2eb75e-b7e5-4d48-a160-35790d9eb7cb
7e7ca6f0-7536-4a60-8c8a-5dee544ca355,,Ônibus,Ônibus,825cd7f0-3b03-449d-8e65-abdcc4ea52b7
7e7ca6f0-7536-4a60-8c8a-5dee544ca355,,Bicicleta,Bicicleta,8b23c221-60a8-46e8-9b9e-dda34249f3a0
9866032a-4159-4dc0-9e7c-103482f2bac6,,Outros,Outros,e9f725f1-cdba-48d6-9acf-8e4142ebd6c1
9866032a-4159-4dc0-9e7c-103482f2bac6,,Bicicleta,Bicicleta,fabf3da3-afa3-46ea-b5a4-363c7f03e23f
64dc316d-ab8c-4898-9634-e7409598d19a,,Ônibus,Ônibus,9931643b-4b1e-4c46-9ca5-061636b7ac07
64dc316d-ab8c-4898-9634-e7409598d19a,,Bicicleta,Bicicleta,163d4ce3-b2b5-434d-ae28-87c49ce75ac9
cbf9cb82-8dd9-4d72-a78b-a29c2eabf906,,Auto,Automóvel,a87ec3fc-3c0e-447c-a27b-a48b526e118f
cbf9cb82-8dd9-4d72-a78b-a29c2eabf906,,Bicicleta,Bicicleta,51153b2a-9909-41f7-91ef-d6754810fd55
95358e1a-d093-4118-a0d1-7665adb4ca61,,Bicicleta,Bicicleta,0375b7c6-dad6-42aa-8e3c-b9ddf5711f1b
95358e1a-d093-4118-a0d1-7665adb4ca61,,Auto,Automóvel,bfe24118-950b-4b79-9a11-60663413c380
95358e1a-d093-4118-a0d1-7665adb4ca61,,Auto,Automóvel,03c03318-0483-4e82-8133-0e407576abd9
911ff31f-fc7d-4350-91fe-c1999013eb0b,,Auto,Automóvel,96fd68d5-19b5-487a-831e-df2746b97a1d
911ff31f-fc7d-4350-91fe-c1999013eb0b,,Bicicleta,Bicicleta,ededfef8-989b-447a-852f-6e8bab3af761
4c45c3e0-bd9d-41cd-b7f5-4566716381a1,,Auto,Automóvel,8ac7a934-7f7b-4e5a-9184-e19d4f1df4d4
4c45c3e0-bd9d-41cd-b7f5-4566716381a1,,Bicicleta,Bicicleta,6caf5ed3-acce-4796-beed-6e62ce9fc68a
00d8d8f2-7926-4c89-9685-9acbca4c27bc,,Auto,Automóvel,5dedcf12-0551-4f18-ba28-331095d59fbc
00d8d8f2-7926-4c89-9685-9acbca4c27bc,,Bicicleta,Bicicleta,721aebf6-bbc3-45cb-8abe-e986d4322832
248acb73-6880-47a7-a8c5-85e4ae0033b1,,Auto,Automóvel,35838938-9f8d-4182-9714-2566bc500b06
248acb73-6880-47a7-a8c5-85e4ae0033b1,,Bicicleta,Bicicleta,a7f3987a-c7a4-4138-ab9b-e4c1a9e3225c
9660da59-57d2-4bd6-a758-87acb8f30ad9,,Bicicleta,Bicicleta,67eaa0b5-c3c0-4542-b652-3c4c54fdf7e7
9660da59-57d2-4bd6-a758-87acb8f30ad9,,Auto,Automóvel,d7850e0d-4f32-4677-b109-d60597d21c13
c8c7abb6-6068-4e6d-b8df-a70f2ef81517,,Bicicleta,Bicicleta,70361022-9112-41b3-a150-e9f4887e34f5
c8c7abb6-6068-4e6d-b8df-a70f2ef81517,,Auto,Automóvel,b5dae5da-3071-4d93-a346-9a62cf5756a5
6f5d0597-c278-4554-9c71-72fd157f96a0,,Auto,Automóvel,3d77395c-fda4-4dfa-a252-04bc331fc961
6f5d0597-c278-4554-9c71-72fd157f96a0,,Bicicleta,Bicicleta,bafa9d9a-e725-419a-8287-18b6c40a0645
eae2f26f-77d5-4847-8e23-6a8fe9e1d09f,,Moto,Motocicleta,43feb2c9-420a-40cf-ba79-418e0d57173e
