,id_radar,n_acidentes100,n_acidentes250,n_acidentes500,n_acidentes1000,n_acidentes2000
265,53,0.0,0.0,1.0,2.0,4
266,54,0.0,0.0,1.0,2.0,5
267,55,0.0,0.0,1.0,3.0,14
268,56,0.0,0.0,2.0,4.0,24
269,57,0.0,0.0,2.0,5.0,25
270,72,0.0,0.0,1.0,5.0,15
271,74,0.0,0.0,1.0,5.0,15
272,76,0.0,0.0,1.0,3.0,15
273,78,0.0,0.0,3.0,5.0,10
274,79,0.0,0.0,2.0,4.0,21
275,80,0.0,0.0,1.0,4.0,10
276,81,0.0,0.0,2.0,5.0,10
277,84,0.0,0.0,2.0,5.0,11
278,86,0.0,0.0,3.0,9.0,24
279,89,0.0,0.0,2.0,9.0,26
280,90,0.0,0.0,2.0,3.0,12
281,92,0.0,0.0,1.0,5.0,27
282,95,0.0,0.0,1.0,1.0,14
283,99,0.0,0.0,1.0,9.0,20
284,101,0.0,0.0,1.0,4.0,7
285,102,0.0,0.0,1.0,4.0,7
286,104,0.0,0.0,1.0,2.0,6
287,107,0.0,0.0,1.0,3.0,13
288,108,0.0,0.0,1.0,3.0,13
289,109,0.0,0.0,2.0,3.0,18
290,110,0.0,0.0,2.0,3.0,18
291,111,0.0,0.0,1.0,7.0,13
292,112,0.0,0.0,1.0,7.0,13
293,116,0.0,0.0,1.0,4.0,19
294,117,0.0,0.0,1.0,4.0,19
295,119,0.0,0.0,2.0,4.0,7
296,120,0.0,0.0,2.0,4.0,7
297,121,0.0,0.0,1.0,4.0,10
298,124,0.0,0.0,1.0,6.0,23
299,128,0.0,0.0,2.0,3.0,10
300,130,0.0,0.0,1.0,3.0,13
301,132,0.0,0.0,1.0,5.0,16
302,133,0.0,0.0,3.0,6.0,17
303,135,0.0,0.0,2.0,8.0,20
304,136,0.0,0.0,2.0,7.0,16
305,137,0.0,0.0,2.0,7.0,16
306,138,0.0,0.0,2.0,7.0,16
307,140,0.0,0.0,1.0,3.0,17
308,141,0.0,0.0,1.0,5.0,17
309,144,0.0,0.0,3.0,8.0,23
310,150,0.0,0.0,2.0,5.0,14
311,156,0.0,0.0,1.0,6.0,14
312,157,0.0,0.0,1.0,4.0,13
313,158,0.0,0.0,1.0,3.0,13
314,161,0.0,0.0,1.0,4.0,15
315,163,0.0,0.0,2.0,5.0,22
316,167,0.0,0.0,1.0,3.0,16
317,168,0.0,0.0,1.0,1.0,11
318,175,0.0,0.0,1.0,4.0,15
319,177,0.0,0.0,1.0,4.0,20
320,178,0.0,0.0,1.0,3.0,21
321,181,0.0,0.0,2.0,2.0,18
322,182,0.0,0.0,1.0,2.0,11
323,184,0.0,0.0,1.0,2.0,13
324,185,0.0,0.0,1.0,4.0,13
325,188,0.0,0.0,1.0,3.0,22
326,189,0.0,0.0,1.0,3.0,22
327,192,0.0,0.0,1.0,6.0,24
328,194,0.0,0.0,2.0,4.0,17
329,195,0.0,0.0,1.0,5.0,21
330,198,0.0,0.0,1.0,3.0,13
331,199,0.0,0.0,1.0,5.0,13
332,206,0.0,0.0,3.0,7.0,15
333,210,0.0,0.0,1.0,4.0,14
334,211,0.0,0.0,1.0,2.0,16
335,212,0.0,0.0,3.0,6.0,15
336,221,0.0,0.0,1.0,3.0,16
337,226,0.0,0.0,1.0,1.0,22
338,230,0.0,0.0,3.0,7.0,16
339,233,0.0,0.0,2.0,5.0,12
340,235,0.0,0.0,1.0,4.0,18
341,237,0.0,0.0,2.0,5.0,18
342,239,0.0,0.0,2.0,8.0,19
343,242,0.0,0.0,2.0,8.0,20
344,246,0.0,0.0,1.0,2.0,9
345,247,0.0,0.0,1.0,3.0,19
346,248,0.0,0.0,1.0,2.0,11
347,251,0.0,0.0,1.0,2.0,9
348,254,0.0,0.0,1.0,2.0,6
349,258,0.0,0.0,1.0,17.0,44
350,260,0.0,0.0,2.0,16.0,44
351,263,0.0,0.0,1.0,4.0,14
352,265,0.0,0.0,3.0,5.0,13
353,268,0.0,0.0,1.0,2.0,16
354,272,0.0,0.0,1.0,5.0,8
355,274,0.0,0.0,1.0,8.0,20
