,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
22539,D021601404,-23.62571,-46.620540000000005,RUA CEL SILVERIO MAGALHAES,RUA CALOGERO CALIA,2016-02-07 10:48:00,2,Choque,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22540,D021601405,-23.57281,-46.69827,RUA HUNGRIA,nan,2016-02-15 16:16:00,2,Colisao traseira,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22541,D021601406,-23.50755,-46.64875,AV BRAZ LEME,nan,2016-02-04 08:40:00,2,Queda moto/bicicleta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22542,D021601407,-23.66606,-46.65623,AV CUPECE,nan,2016-02-24 19:15:00,4,Atropelamento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22543,D021601408,-23.495070000000002,-46.657920000000004,RUA ARMANDO COELHO SILVA,RUA STA EUDOXIA,2016-02-04 17:50:00,2,Colisao lateral,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22544,D021601409,-23.4894,-46.65092,AV IMIRIM,nan,2016-02-01 17:11:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22545,D021601410,-23.58301,-46.674009999999996,RUA DR RENATO PAES DE BARROS,nan,2016-02-14 22:30:00,4,Atropelamento,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22546,D021601411,-23.56915,-46.66745,RUA HONDURAS (PINHEIROS),RUA ARGENTINA,2016-02-16 17:50:00,2,Colisao,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22547,D021601412,-23.68572,-46.69295,AV INTERLAGOS,nan,2016-02-09 21:30:00,2,Colisao,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22548,D021601413,-23.66311,-46.707029999999996,AV VITOR MANZINI,nan,2016-02-12 07:04:00,2,Sem Informacao,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
