gid,id,lote,codigo,endereco,sentido,referencia,tipo_equip,enquadrame,qtde_fxs_f,data_publi,velocidade,latitude_l,ligado,data_desli,motivo_des,mi_style,mi_prinx,geom,emme_gid,mdc_gid,autuacoes,contagem
831,139,1,6951-6952,"Marginal Tietê , Pista Central",Castelo Branco/Ayrton Senna,a mais 10m pte Gov. Orestes Quercia,Fixo - Grupo C,R-VER,9,2016/10/01 00:00:00.000,70/60 km/h,(-23.519082 -46.637342),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",948,0101000020E6100000180B5C81955147C02F77FBE6DD8437C0,9342,249888,0,0
28,140,1,6736,R. Drº. César,Bairro/Centro,a menos 12m. da R. Capitão Manuel Novais,Barreira Eletrônica,V,2,2014/12/19 00:00:00.000,40 km/h,(-46.63767824475367973 -23.50118328220700192),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",29,0101000020E610000066491D709F5147C01F1C1E884D8037C0,6149,72854,689489,0
30,141,1,6707 - 6708,Av. Edu Chaves,Jaçanã/Edu Chaves - Edu Chaves/Jaçanã,nº 1.553 - Oposto nº 1.553,Barreira Eletrônica,V,2,2014/02/05 00:00:00.000,40 km/h,(-46.56727355385821454 -23.48028179225473977),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",31,0101000020E6100000BBD58C6F9C4847C047F584C2F37A37C0,15243,26644,685525,0
29,142,1,6602 - 6601,R. João Amado Coutinho,Brasilândia/Jaraguá - Jaraguá/Brasilândia,nº 883 - nº 884,Barreira Eletrônica,V,2,2014/08/30 00:00:00.000,40 km/h,(-46.71304047743840471 -23.44202191477438646),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",30,0101000020E6100000C4C5B4E3445B47C0AF29675A287137C0,4855,14357,546994,0
759,143,2,4613 - 4614,R. Alvinópolis,Bairro/Centro,a menos 114 m da R. Mirandinha,Fixo - Grupo C,V,7,2016/03/31 00:00:00.000,50 km/h,(-46.53357047894562726 -23.53135091436407933),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",876,0101000020E610000027D5A1474A4447C0E174D4C9008837C0,18224,150330,2028967,5957
31,144,1,6605 - 6606,R. Manuel Gaya,Tremembé/Jaçanã - Jaçanã/Tremembé,nº 761 - Oposto nº 761,Barreira Eletrônica,V,2,2014/08/15 00:00:00.000,40 km/h,(-46.59961586943310152 -23.46497858857203056),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",33,0101000020E6100000BBE03E38C04C47C0C54649DD087737C0,23182,54712,1065178,178
33,145,1,6607,R. Cônego Manuel Vaz,Centro/Bairro,nº 412,Barreira Eletrônica,V,2,2014/10/25 00:00:00.000,40 km/h,(-46.63102451948591209 -23.49704289623943509),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",35,0101000020E6100000ACFA5C6DC55047C0218171363E7F37C0,18441,103866,921912,0
242,300,2,4525,R. José Paulino,Centro/Bairro,nº 414,Fixo - Grupo A,V-EX,2,2015/04/30 00:00:00.000,40 km/h,(-46.63919946672233152 -23.53069753369516448),1,,,"Symbol (62,19424,12,""MapInfo Transportation"",256,0)",340,0101000020E610000053EA2F47D15147C0770DFAD2DB8737C0,6937,156760,532399,4785
35,146,1,6628,Av. Dep. Cantí­dio Sampaio,Bairro/Centro,nº 2.145,Barreira Eletrônica,V,1,2014/10/06 00:00:00.000,40 km/h,(-46.68413572420028146 -23.46132331281116024),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",37,0101000020E6100000029B10C6915747C0DBBD1E44197637C0,5197,147864,669202,0
32,147,1,6629 - 6630,Av. Clavásio Alves da Silva,Bairro/Centro - Centro/Bairro,nº 164 - Oposto nº 164,Barreira Eletrônica,V,2,2014/10/06 00:00:00.000,40 km/h,(-46.67841663868052393 -23.50231194182387284),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",34,0101000020E6100000866DEE5CD65647C06B63EC84978037C0,9546,32910,638395,114
34,148,1,6631 - 6632,R. Cons. Moreira de Barros,Santana/ Mandaqui - Mandaqui/ Santana,nº 3.358 - Oposto nº 3.358,Barreira Eletrônica,V,2,2014/10/29 00:00:00.000,40 km/h,(-46.64976718634062536 -23.48009423371166804),1,,,"Symbol (62,13658112,12,""MapInfo Transportation"",256,0)",36,0101000020E6100000549C51902B5347C024283C70E77A37C0,9422,49967,1211465,0
